asusctl 6.1.15.r0.g319373fa-1
base 3-2
base-devel 1-2
blueman 2.4.6-1
bluez 5.84-1
bluez-tools 0.2.0-6
bluez-utils 5.84-1
brightnessctl 0.5.1-3
btop 1.4.5-1
cups 2:2.4.14-1
dialog 1:1.3_20250116-1
efibootmgr 18-3
fastfetch 2.54.0-1
gemini-cli 1:0.8.2-1
git 2.51.1-2
grim 1.5.0-2
grub 2:2.12.r418.g6b5c671d-1
gst-plugin-pipewire 1:1.4.9-1
gvfs 1.58.0-2
hyprland 0.51.1-6
intel-ucode 20250812-1
kitty 0.43.1-1
libpulse 17.0+r88+geee0e8f22-1
libreoffice-still 25.2.6-5
linux 6.17.4.arch2-1
linux-firmware 20251011-1
lvm2 2.03.35-1
lxappearance 0.6.4-1
mako 1.10.0-1
nano 8.6-1
neovim 0.11.4-1
networkmanager 1.54.1-1
nodjs 24.9.0-1
noto-fonts 1:2025.10.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npm 11.6.2-1
obsidian 1.9.14-1
os-prober 1.83-1
pamixer 1.6-3
pipewire 1:1.4.9-1
pipewire-alsa 1:1.4.9-1
pipewire-jack 1:1.4.9-1
pipewire-pulse 1:1.4.9-1
polkit-gnome 0.105-11
python-requests 2.32.5-1

slurp 1.5.0-1
sof-firmware 2025.05.1-1
starship 1.23.0-1
supergfxctl 5.2.7-2
swappy 1.8.0-1
swaybg 1.2.1-1
telegram-desktop 6.2.3-2
thunar 4.20.6-1
timeshift 25.07.7-1
tmux 3.5_a-1
ttf-jetbrains-mono-nerd 3.4.0-1
vim 9.1.1841-1
vlc 3.0.21-30
waybar 0.14.0-3
wev 1.1.0-1
wireplumber 0.5.12-1
wofi 1.5.1-1
xdg-desktop-portal-hyprland 1.3.11-1
xfce4-settings 4.20.2-1
zram-generator 1.2.1-1
zsh 5.9-5
zsh-autosuggestions 0.7.1-1
zsh-completions 0.35.0-3
yazi
